bearing,n_snaps,life_min,rmse_min,r2,phm_score
Bearing1_3,2375,395.8333333333333,40.63017880632689,0.87356885733062,770068.9581572411
Bearing1_4,1428,238.0,137.3371931766105,-2.9958012596221133,167345485.2802522
Bearing1_5,2463,410.5,10.930682526268868,0.9914915675323828,196982.87120631651
Bearing1_6,2448,408.0,9.80685247547539,0.9930670147401733,198269.8665317274
Bearing1_7,2259,376.5,14.440341534794193,0.982347496748409,217964.40582165227
Bearing2_3,1955,325.8333333333333,45.043975923815154,0.7706684679753704,11943994.28875579
Bearing2_4,751,125.16666666666667,8.386619247875258,0.946126090069831,11.189145966805011
Bearing2_5,2311,385.1666666666667,29.94201763114933,0.927481959480371,936460.8466407103
Bearing2_6,701,116.83333333333333,35.109182543494526,-0.08365248252520519,748187.6929366435
Bearing2_7,230,38.333333333333336,5.6192138686575825,0.7421379635769991,364685.70288339444
Bearing3_3,434,72.33333333333333,2.491944127362771,0.9857575994762876,8.680120146017204
