feature,importance,type,importance_pct
pi_life_cos_pi,0.114341,pi,11.434062
pi_life_sin_2pi,0.100298,pi,10.029849
pi_rms_h_cos_pi,0.089274,pi,8.927361
pi_rms_h_sin_pi,0.083623,pi,8.362252
pi_rms_h_sin_2pi,0.062151,pi,6.215124
cross_rms_x_temp,0.061185,cross,6.118479
pi_rms_bif_sin_pi,0.050063,pi,5.006292
pi_rms_bif_cos_pi,0.047229,pi,4.722929
cross_bif_x_temp,0.040409,cross,4.040925
pi_life_sin_pi,0.034824,pi,3.482415
pi_rms_bif_sin_pi2,0.031517,pi,3.151665
cross_life_x_rms,0.031354,cross,3.135409
pi_rms_bif_sin_2pi,0.028678,pi,2.867834
pi_life_sin_pi2,0.027032,pi,2.703161
pi_rms_h_sin_pi2,0.025436,pi,2.543614
pi_life_cascade,0.017931,pi,1.793053
pi_peak_h_sin_pi,0.016081,pi,1.608086
pi_peak_h_cos_pi,0.015393,pi,1.539294
pi_rms_v_sin_2pi,0.014400,pi,1.440000
pi_rms_v_sin_pi,0.014316,pi,1.431604
pi_rms_h_cascade,0.013517,pi,1.351656
pi_rms_v_cos_pi,0.012463,pi,1.246289
pi_rms_v_cascade,0.010935,pi,1.093520
pi_rms_bif_cascade,0.008248,pi,0.824781
pi_peak_h_sin_2pi,0.008061,pi,0.806068
pi_rms_v_sin_pi2,0.007627,pi,0.762747
pi_peak_v_sin_pi,0.006581,pi,0.658114
pi_peak_v_cos_pi,0.006267,pi,0.626691
pi_peak_h_sin_pi2,0.004792,pi,0.479177
pi_kurt_h_cos_pi,0.004228,pi,0.422840
pi_peak_v_sin_2pi,0.001738,pi,0.173810
pi_kurt_h_cascade,0.001699,pi,0.169858
pi_peak_v_cascade,0.001394,pi,0.139414
pi_peak_h_cascade,0.001231,pi,0.123073
pi_kurt_v_cos_pi,0.000893,pi,0.089258
e_crest_v_pow_e,0.000611,e,0.061139
pi_peak_v_sin_pi2,0.000575,pi,0.057492
pi_kurt_h_sin_pi,0.000487,pi,0.048668
pi_kurt_v_sin_pi,0.000477,pi,0.047700
e_crest_v_exp_neg,0.000438,e,0.043809
pi_kurt_v_cascade,0.000412,pi,0.041195
pi_kurt_v_sin_2pi,0.000380,pi,0.037991
e_crest_v_gauss,0.000284,e,0.028393
pi_kurt_v_sin_pi2,0.000230,pi,0.022958
cross_kurt_x_temp,0.000196,cross,0.019566
e_crest_h_pow_e,0.000181,e,0.018057
e_crest_h_gauss,0.000150,e,0.015004
e_crest_h_exp_neg,0.000144,e,0.014417
pi_kurt_h_sin_pi2,0.000132,pi,0.013245
pi_kurt_h_sin_2pi,0.000097,pi,0.009664
e_temp_dev_gauss,0.000000,e,0.000000
e_temp_dev_exp_neg,0.000000,e,0.000000
e_temp_dev_pow_e,0.000000,e,0.000000
e_temp_bif_gauss,0.000000,e,0.000000
e_temp_bif_exp_neg,0.000000,e,0.000000
e_temp_bif_pow_e,0.000000,e,0.000000
