Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
1	0.	0.	10.	
2	10.	0.	10.	
3	-10.	0.	10.	
4	-10.	-10.	10.	
5	-10.	10.	10.	
6	-10.	-10.	20.	
7	-10.	0.	20.	
8	-10.	10.	20.	
9	-10.	-10.	0.	
10	-10.	0.	0.	
11	-10.	10.	0.	
12	0.	0.	0.	
13	10.	0.	0.	
14	10.	-10.	0.	
15	0.	-10.	0.	
16	0.	10.	0.	
17	10.	10.	0.	
18	0.	0.	20.	
19	10.	0.	20.	
20	10.	-10.	20.	
21	0.	-10.	20.	
22	0.	10.	20.	
23	10.	10.	20.	
24	0.	10.	10.	
25	10.	10.	10.	
26	0.	-10.	10.	
27	10.	-10.	10.	
28	5.	0.	10.	
29	-5.	0.	10.	
30	0.	0.	5.	
31	0.	0.	15.	
32	0.	5.	10.	
33	0.	-5.	10.	
34	10.	0.	5.	
35	10.	0.	15.	
36	10.	5.	10.	
37	10.	-5.	10.	
38	-10.	-5.	10.	
39	-10.	5.	10.	
40	-10.	0.	15.	
41	-10.	0.	5.	
42	-10.	-10.	15.	
43	-10.	-10.	5.	
44	-5.	-10.	10.	
45	-10.	10.	15.	
46	-10.	10.	5.	
47	-5.	10.	10.	
48	-10.	-5.	20.	
49	-5.	-10.	20.	
50	-10.	5.	20.	
51	-5.	0.	20.	
52	-5.	10.	20.	
53	-10.	-5.	0.	
54	-5.	-10.	0.	
55	-10.	5.	0.	
56	-5.	0.	0.	
57	-5.	10.	0.	
58	5.	0.	0.	
59	0.	-5.	0.	
60	0.	5.	0.	
61	10.	-5.	0.	
62	10.	5.	0.	
63	5.	-10.	0.	
64	10.	-10.	5.	
65	0.	-10.	5.	
66	5.	10.	0.	
67	0.	10.	5.	
68	10.	10.	5.	
69	5.	0.	20.	
70	0.	-5.	20.	
71	0.	5.	20.	
72	10.	-5.	20.	
73	10.	5.	20.	
74	5.	-10.	20.	
75	10.	-10.	15.	
76	0.	-10.	15.	
77	5.	10.	20.	
78	0.	10.	15.	
79	10.	10.	15.	
80	5.	10.	10.	
81	5.	-10.	10.	
