node_id,x,y,z,is_surface,zone_type,pattern,layer,h_target,load_proj,dist_surf,dist_pi,cyl_active,cyl_line_id
2,10.0,0.0,10.0,True,surface,surface,,,,,,,
3,-10.0,0.0,10.0,True,surface,surface,,,,,,,
4,-10.0,-10.0,10.0,True,surface,surface,,,,,,,
5,-10.0,10.0,10.0,True,surface,surface,,,,,,,
6,-10.0,-10.0,20.0,True,surface,surface,,,,,,,
7,-10.0,0.0,20.0,True,surface,surface,,,,,,,
8,-10.0,10.0,20.0,True,surface,surface,,,,,,,
9,-10.0,-10.0,0.0,True,surface,surface,,,,,,,
10,-10.0,0.0,0.0,True,surface,surface,,,,,,,
11,-10.0,10.0,0.0,True,surface,surface,,,,,,,
12,0.0,0.0,0.0,True,surface,surface,,,,,,,
13,10.0,0.0,0.0,True,surface,surface,,,,,,,
14,10.0,-10.0,0.0,True,surface,surface,,,,,,,
15,0.0,-10.0,0.0,True,surface,surface,,,,,,,
16,0.0,10.0,0.0,True,surface,surface,,,,,,,
17,10.0,10.0,0.0,True,surface,surface,,,,,,,
18,0.0,0.0,20.0,True,surface,surface,,,,,,,
19,10.0,0.0,20.0,True,surface,surface,,,,,,,
20,10.0,-10.0,20.0,True,surface,surface,,,,,,,
21,0.0,-10.0,20.0,True,surface,surface,,,,,,,
22,0.0,10.0,20.0,True,surface,surface,,,,,,,
23,10.0,10.0,20.0,True,surface,surface,,,,,,,
24,0.0,10.0,10.0,True,surface,surface,,,,,,,
25,10.0,10.0,10.0,True,surface,surface,,,,,,,
26,0.0,-10.0,10.0,True,surface,surface,,,,,,,
27,10.0,-10.0,10.0,True,surface,surface,,,,,,,
34,10.0,0.0,5.0,True,surface,surface,,,,,,,
35,10.0,0.0,15.0,True,surface,surface,,,,,,,
36,10.0,5.0,10.0,True,surface,surface,,,,,,,
37,10.0,-5.0,10.0,True,surface,surface,,,,,,,
38,-10.0,-5.0,10.0,True,surface,surface,,,,,,,
39,-10.0,5.0,10.0,True,surface,surface,,,,,,,
40,-10.0,0.0,15.0,True,surface,surface,,,,,,,
41,-10.0,0.0,5.0,True,surface,surface,,,,,,,
42,-10.0,-10.0,15.0,True,surface,surface,,,,,,,
43,-10.0,-10.0,5.0,True,surface,surface,,,,,,,
44,-5.0,-10.0,10.0,True,surface,surface,,,,,,,
45,-10.0,10.0,15.0,True,surface,surface,,,,,,,
46,-10.0,10.0,5.0,True,surface,surface,,,,,,,
47,-5.0,10.0,10.0,True,surface,surface,,,,,,,
48,-10.0,-5.0,20.0,True,surface,surface,,,,,,,
49,-5.0,-10.0,20.0,True,surface,surface,,,,,,,
50,-10.0,5.0,20.0,True,surface,surface,,,,,,,
51,-5.0,0.0,20.0,True,surface,surface,,,,,,,
52,-5.0,10.0,20.0,True,surface,surface,,,,,,,
53,-10.0,-5.0,0.0,True,surface,surface,,,,,,,
54,-5.0,-10.0,0.0,True,surface,surface,,,,,,,
55,-10.0,5.0,0.0,True,surface,surface,,,,,,,
56,-5.0,0.0,0.0,True,surface,surface,,,,,,,
57,-5.0,10.0,0.0,True,surface,surface,,,,,,,
58,5.0,0.0,0.0,True,surface,surface,,,,,,,
59,0.0,-5.0,0.0,True,surface,surface,,,,,,,
60,0.0,5.0,0.0,True,surface,surface,,,,,,,
61,10.0,-5.0,0.0,True,surface,surface,,,,,,,
62,10.0,5.0,0.0,True,surface,surface,,,,,,,
63,5.0,-10.0,0.0,True,surface,surface,,,,,,,
64,10.0,-10.0,5.0,True,surface,surface,,,,,,,
65,0.0,-10.0,5.0,True,surface,surface,,,,,,,
66,5.0,10.0,0.0,True,surface,surface,,,,,,,
67,0.0,10.0,5.0,True,surface,surface,,,,,,,
68,10.0,10.0,5.0,True,surface,surface,,,,,,,
69,5.0,0.0,20.0,True,surface,surface,,,,,,,
70,0.0,-5.0,20.0,True,surface,surface,,,,,,,
71,0.0,5.0,20.0,True,surface,surface,,,,,,,
72,10.0,-5.0,20.0,True,surface,surface,,,,,,,
73,10.0,5.0,20.0,True,surface,surface,,,,,,,
74,5.0,-10.0,20.0,True,surface,surface,,,,,,,
75,10.0,-10.0,15.0,True,surface,surface,,,,,,,
76,0.0,-10.0,15.0,True,surface,surface,,,,,,,
77,5.0,10.0,20.0,True,surface,surface,,,,,,,
78,0.0,10.0,15.0,True,surface,surface,,,,,,,
79,10.0,10.0,15.0,True,surface,surface,,,,,,,
80,5.0,10.0,10.0,True,surface,surface,,,,,,,
81,5.0,-10.0,10.0,True,surface,surface,,,,,,,
1,0.0,0.0,10.0,False,B_sphere,b_sphere,,2.5,0.0,10.0,10.0,0.0,-1.0
28,5.0,0.0,10.0,False,B,b_transition,2.0,5.0,5.0,5.0,5.0,0.0,-1.0
29,-5.0,0.0,10.0,False,B,b_transition,2.0,5.0,-5.0,5.0,5.0,0.0,-1.0
30,0.0,0.0,5.0,False,B_sphere,b_sphere,,2.5,0.0,5.0,11.1803,0.0,-1.0
31,0.0,0.0,15.0,False,B_sphere,b_sphere,,2.5,0.0,5.0,11.1803,0.0,-1.0
32,0.0,5.0,10.0,False,B_sphere,b_sphere,,2.5,0.0,5.0,11.1803,0.0,-1.0
33,0.0,-5.0,10.0,False,B_sphere,b_sphere,,2.5,0.0,5.0,11.1803,0.0,-1.0
